order_date,order_id,new_product_id,store_id,sales_channel,loyalty_member,quantity,discount_pct,unit_price
2026-08-07,20260807-0029,NP5007,S003,in_store,N,3,20,87.27
2026-08-07,20260807-0030,NP5034,S003,ship_from_store,Y,1,0,168.67
2026-08-07,20260807-0031,NP5023,S003,in_store,N,1,0,144.84
2026-08-07,20260807-0032,NP5034,S005,pickup,N,2,5,160.24
2026-08-07,20260807-0033,NP5062,S004,in_store,N,1,15,138.8
2026-08-07,20260807-0034,NP5072,S002,in_store,Y,2,0,795.23
2026-08-07,20260807-0035,NP5062,S003,pickup,Y,1,15,138.8
2026-08-07,20260807-0036,NP5053,S004,in_store,Y,2,10,100.56
2026-08-07,20260807-0037,NP5002,S008,in_store,Y,1,20,164.46
2026-08-07,20260807-0038,NP5057,S004,in_store,Y,1,0,399.61
2026-08-07,20260807-0039,NP5065,S008,pickup,N,3,0,107.67
2026-08-07,20260807-0040,NP5026,S007,in_store,Y,2,20,102.96
2026-08-07,20260807-0041,NP5017,S007,in_store,Y,1,0,63.28
2026-08-07,20260807-0042,NP5044,S006,in_store,Y,2,0,193.76
2026-08-07,20260807-0043,NP5003,S001,in_store,Y,3,20,353.3
2026-08-07,20260807-0044,NP5045,S007,ship_from_store,Y,2,0,343.55
2026-08-07,20260807-0045,NP5064,S004,ship_from_store,Y,1,0,655.68
2026-08-07,20260807-0046,NP5072,S008,pickup,Y,1,5,755.47
2026-08-07,20260807-0047,NP5017,S002,in_store,Y,1,0,63.28
2026-08-07,20260807-0048,NP5076,S008,in_store,Y,1,10,141.41
2026-08-07,20260807-0049,NP5002,S008,ship_from_store,Y,1,0,205.57
2026-08-07,20260807-0050,NP5069,S007,pickup,Y,1,0,221.25
2026-08-07,20260807-0051,NP5061,S008,in_store,Y,2,15,131.06
2026-08-07,20260807-0052,NP5011,S008,in_store,N,4,20,106.13
2026-08-07,20260807-0053,NP5014,S008,in_store,N,1,20,169.66
2026-08-07,20260807-0054,NP5049,S001,in_store,N,1,10,201.1
2026-08-07,20260807-0055,NP5009,S006,pickup,Y,1,0,118.72
2026-08-07,20260807-0056,NP5034,S004,in_store,Y,4,5,160.24
2026-08-07,20260807-0057,NP5020,S005,in_store,N,3,15,176.28
2026-08-07,20260807-0058,NP5033,S008,in_store,Y,1,0,187.6
2026-08-07,20260807-0059,NP5052,S003,ship_from_store,Y,1,20,302.53
2026-08-07,20260807-0060,NP5008,S005,ship_from_store,Y,4,0,175.19
2026-08-07,20260807-0061,NP5034,S001,pickup,Y,3,0,168.67
2026-08-07,20260807-0062,NP5070,S004,in_store,N,2,0,143.21
2026-08-07,20260807-0063,NP5032,S004,pickup,Y,3,0,200.43
2026-08-07,20260807-0064,NP5007,S002,in_store,Y,1,0,109.09
2026-08-07,20260807-0065,NP5030,S007,in_store,Y,4,0,128.56
2026-08-07,20260807-0066,NP5075,S008,ship_from_store,Y,2,0,274.77
2026-08-07,20260807-0067,NP5064,S006,pickup,Y,2,0,655.68
2026-08-07,20260807-0068,NP5013,S002,in_store,Y,2,15,84.52
2026-08-07,20260807-0069,NP5011,S008,in_store,Y,1,0,132.66
2026-08-07,20260807-0070,NP5043,S001,ship_from_store,Y,4,0,237.41
2026-08-07,20260807-0071,NP5056,S008,in_store,N,1,20,119.03
2026-08-07,20260807-0072,NP5022,S005,ship_from_store,Y,3,20,310.01
2026-08-07,20260807-0073,NP5061,S004,ship_from_store,Y,2,0,154.19
2026-08-07,20260807-0074,NP5037,S006,in_store,Y,3,15,75.97
2026-08-07,20260807-0075,NP5010,S005,in_store,N,2,0,555.58
2026-08-07,20260807-0076,NP5048,S007,pickup,Y,4,10,65.43
2026-08-07,20260807-0077,NP5045,S006,in_store,Y,1,0,343.55
2026-08-07,20260807-0078,NP5062,S007,in_store,Y,2,0,163.29
2026-08-07,20260807-0079,NP5069,S002,in_store,Y,4,0,221.25
2026-08-07,20260807-0080,NP5046,S003,in_store,Y,1,5,217.46
2026-08-07,20260807-0081,NP5035,S002,in_store,Y,2,10,129.83
2026-08-07,20260807-0082,NP5065,S001,ship_from_store,Y,2,0,107.67
2026-08-07,20260807-0083,NP5057,S004,pickup,N,1,5,379.63
2026-08-07,20260807-0084,NP5075,S003,pickup,Y,1,0,274.77
2026-08-07,20260807-0085,NP5056,S003,ship_from_store,Y,1,0,148.79
2026-08-07,20260807-0086,NP5009,S007,ship_from_store,Y,1,15,100.91
2026-08-07,20260807-0087,NP5010,S001,pickup,Y,3,0,555.58
2026-08-07,20260807-0088,NP5076,S007,pickup,Y,4,15,133.55
2026-08-07,20260807-0089,NP5060,S004,in_store,Y,1,0,166.65
2026-08-07,20260807-0090,NP5047,S005,in_store,Y,2,15,49.36
2026-08-07,20260807-0091,NP5038,S008,in_store,N,4,10,178.36
2026-08-07,20260807-0092,NP5059,S008,in_store,Y,1,0,108.91
2026-08-07,20260807-0093,NP5055,S002,in_store,Y,1,15,237.56
2026-08-07,20260807-0094,NP5019,S002,pickup,Y,1,5,170.93
2026-08-07,20260807-0095,NP5030,S006,in_store,N,1,0,128.56
2026-08-07,20260807-0096,NP5053,S001,in_store,Y,2,5,106.14
2026-08-07,20260807-0097,NP5063,S001,ship_from_store,Y,1,10,69.5
2026-08-07,20260807-0098,NP5036,S007,in_store,Y,2,0,156.45
2026-08-07,20260807-0099,NP5016,S007,in_store,N,2,0,648.67
2026-08-07,20260807-0100,NP5020,S007,in_store,N,2,0,207.39
2026-08-07,20260807-0101,NP5076,S004,in_store,N,4,5,149.26
2026-08-07,20260807-0102,NP5048,S002,in_store,Y,1,20,58.16
2026-08-07,20260807-0103,NP5061,S005,pickup,N,1,15,131.06
2026-08-07,20260807-0104,NP5018,S008,pickup,N,2,10,135.15
2026-08-07,20260807-0105,NP5048,S003,pickup,N,4,15,61.8
2026-08-07,20260807-0106,NP5023,S004,in_store,Y,3,0,144.84
2026-08-07,20260807-0107,NP5002,S008,in_store,Y,1,0,205.57
2026-08-07,20260807-0108,NP5036,S008,ship_from_store,Y,3,20,125.16
2026-08-07,20260807-0109,NP5025,S001,pickup,Y,1,0,121.37
2026-08-07,20260807-0110,NP5074,S004,ship_from_store,Y,1,0,163.7
2026-08-07,20260807-0111,NP5069,S003,in_store,N,3,0,221.25
2026-08-07,20260807-0112,NP5018,S002,in_store,Y,1,20,120.14
2026-08-07,20260807-0113,NP5076,S007,in_store,Y,2,0,157.12
2026-08-07,20260807-0114,NP5056,S007,ship_from_store,Y,2,0,148.79
2026-08-07,20260807-0115,NP5035,S008,in_store,Y,1,0,144.26
2026-08-07,20260807-0116,NP5049,S001,ship_from_store,Y,2,0,223.44
2026-08-07,20260807-0117,NP5052,S002,in_store,Y,3,0,378.16
2026-08-07,20260807-0118,NP5061,S001,ship_from_store,Y,3,5,146.48
2026-08-07,20260807-0119,NP5059,S007,in_store,Y,2,0,108.91
2026-08-07,20260807-0120,NP5074,S002,in_store,Y,1,5,155.51
2026-08-07,20260807-0121,NP5053,S003,in_store,Y,3,0,111.73
2026-08-07,20260807-0122,NP5006,S005,pickup,Y,1,5,52.61
2026-08-07,20260807-0123,NP5054,S002,in_store,Y,1,15,61.76
2026-08-07,20260807-0124,NP5048,S001,ship_from_store,Y,2,0,72.7
2026-08-07,20260807-0125,NP5014,S002,in_store,Y,2,5,201.48
